Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
EURUSD,20180420,1:00,1.23471,1.23482,1.23365,1.23426,7520060000
EURUSD,20180420,2:00,1.23425,1.23468,1.23367,1.23377,5964439999
EURUSD,20180420,3:00,1.23376,1.23421,1.23362,1.23413,4983290000
EURUSD,20180420,4:00,1.23413,1.23426,1.23391,1.23408,4273160000
EURUSD,20180420,5:00,1.23408,1.23456,1.23382,1.23417,6478900001
EURUSD,20180420,6:00,1.23416,1.23499,1.23332,1.23421,15520810000
EURUSD,20180420,7:00,1.23422,1.23529,1.23244,1.23249,16335120000
EURUSD,20180420,8:00,1.23248,1.23337,1.23122,1.23146,11805880001
EURUSD,20180420,9:00,1.23145,1.23156,1.22948,1.23015,11764740000
EURUSD,20180420,10:00,1.23013,1.23029,1.2293,1.23024,9907550000
EURUSD,20180420,11:00,1.23025,1.23112,1.22954,1.23042,9937570000
EURUSD,20180420,12:00,1.23043,1.23119,1.22899,1.22904,12618850001
EURUSD,20180420,13:00,1.22906,1.22959,1.2266,1.22666,15220590001
EURUSD,20180420,14:00,1.22666,1.22795,1.22499,1.22787,14595049999
EURUSD,20180420,15:00,1.22789,1.22884,1.22706,1.22816,13534470000
EURUSD,20180420,16:00,1.22817,1.23001,1.228,1.22966,11175840001
EURUSD,20180420,17:00,1.22965,1.22966,1.22864,1.22866,7929610001
EURUSD,20180420,18:00,1.22866,1.22898,1.22818,1.22823,6987060001
EURUSD,20180420,19:00,1.22825,1.22845,1.22801,1.22812,8072280001
EURUSD,20180420,20:00,1.22812,1.22929,1.22799,1.22846,4607499999
NZDUSD,20180430,20:00,0.70347,0.70368,0.7033,0.70333,857460000
USDCHF,20180430,20:00,0.98754,0.98836,0.98754,0.98823,1747380000
USDCHF,20180430,20:00,0.99094,0.99095,0.99042,0.99082,1270230000
USDJPY,20180430,20:00,109.089,109.133,109.068,109.12,2375600000
USDJPY,20180430,20:00,109.316,109.336,109.283,109.33,1459150000
AUDUSD,20180430,21:00,0.75275,0.75315,0.75275,0.75301,1282700000
EURUSD,20180430,21:00,1.20768,1.20816,1.20673,1.20779,4917130000
GBPUSD,20180430,21:00,1.37547,1.37681,1.37547,1.37676,2539690000
NZDUSD,20180430,21:00,0.70333,0.70368,0.70325,0.70344,1277570000
USDCHF,20180430,21:00,0.9908,0.9909,0.98996,0.99057,6150720000
