<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20180427,20:00,109.16,109.238,109.144,109.159,4420250000
USDJPY,20180427,3:00,109.158,109.245,109.157,109.174,4078960000
USDJPY,20180427,4:00,109.175,109.219,109.153,109.179,3611660002
USDJPY,20180427,5:00,109.178,109.323,109.163,109.243,5008969997
USDJPY,20180427,6:00,109.244,109.339,109.244,109.303,6343660000
USDJPY,20180427,7:00,109.303,109.502,109.273,109.393,7086729996
USDJPY,20180427,8:00,109.392,109.402,109.287,109.375,6418480000
USDJPY,20180427,9:00,109.375,109.384,109.256,109.301,5402420000
USDJPY,20180427,10:00,109.302,109.365,109.302,109.307,4841800001
USDJPY,20180427,11:00,109.309,109.348,109.297,109.32,4490370000
USDJPY,20180427,12:00,109.319,109.536,109.263,109.312,11982649992
USDJPY,20180427,13:00,109.313,109.343,109.129,109.204,10422819998
USDJPY,20180427,14:00,109.203,109.266,108.964,109.074,11124580000
USDJPY,20180427,15:00,109.074,109.141,109.007,109.117,6721699997
USDJPY,20180427,16:00,109.119,109.148,109.047,109.084,4670760000
USDJPY,20180427,17:00,109.084,109.146,109.084,109.105,3308580000
USDJPY,20180427,18:00,109.108,109.121,109.016,109.023,4054660000
USDJPY,20180427,19:00,109.023,109.069,108.986,109.059,3983930000
USDJPY,20180427,20:00,109.057,109.137,109.034,109.045,1798430000
USDJPY,20180429,21:00,109.057,109.089,109.017,109.08,341740000
USDJPY,20180429,22:00,109.08,109.161,109.077,109.143,2782640000
USDJPY,20180429,23:00,109.143,109.179,109.093,109.094,1528160000
USDJPY,20180430,0:0,109.093,109.105,109.02,109.074,2891000001
USDJPY,20180430,10:00,109.073,109.126,109.06,109.088,3092000000
USDJPY,20180430,20:00,109.089,109.133,109.068,109.12,2375600000
USDJPY,20180430,3:00,109.121,109.151,109.101,109.134,1477000000
USDJPY,20180430,4:00,109.134,109.156,109.124,109.138,1114750001
USDJPY,20180430,5:00,109.137,109.164,109.129,109.142,1792320000
USDJPY,20180430,6:00,109.143,109.211,109.14,109.197,4923450000
